	Mock	Taxa
N1N2_SNV11267	Organism	Dictyochophyceae
N1N2_SNV11299	Organism	Other plastid
N1N2_SNV11311	Organism	Rappemonad
N1N2_SNV11320	Organism	Chrysophyceae
N1N2_SNV11328	Organism	Other plastid
N1N2_SNV11330	Organism	Other plastid
N1N2_SNV11337	Organism	Chlorophyta
N1N2_SNV11360	Organism	Prymnesiophyceae
N1N2_SNV11361	Organism	Not assigned
N1N2_SNV11411	Organism	Pelagophyceae
N1N2_SNV11419	Organism	Other plastid
N1N2_SNV11429	Organism	Prymnesiophyceae
N1N2_SNV11434	Organism	Other plastid
N1N2_SNV11436	Organism	Other plastid
N1N2_SNV11445	Organism	Prymnesiophyceae
N1N2_SNV11487	Organism	Other plastid
N1N2_SNV11497	Organism	Other plastid
N1N2_SNV11508	Organism	Not assigned
N1N2_SNV11510	Organism	Prymnesiophyceae
N1N2_SNV11513	Organism	Rappemonad
N1N2_SNV11583	Organism	Diatoms
N1N2_SNV11598	Organism	Other plastid
N1N2_SNV11637	Organism	Prymnesiophyceae
N1N2_SNV11639	Organism	Dictyochophyceae
N1N2_SNV11669	Organism	Prymnesiophyceae
N1N2_SNV11670	Organism	Diatoms
N1N2_SNV11684	Organism	Prymnesiophyceae
N1N2_SNV11686	Organism	Other plastid
N1N2_SNV11736	Organism	Diatoms
N1N2_SNV11800	Organism	Other plastid
N1N2_SNV11803	Organism	Prymnesiophyceae
N1N2_SNV11812	Organism	Other plastid
N1N2_SNV11815	Organism	Other plastid
N1N2_SNV11819	Organism	Other plastid
N1N2_SNV11822	Organism	Prymnesiophyceae
N1N2_SNV11823	Organism	Other plastid
N1N2_SNV11825	Organism	Other plastid
N1N2_SNV11843	Organism	other Cyanobacteria
N1N2_SNV11846	Organism	Other plastid
N1N2_SNV11850	Organism	Diatoms
N1N2_SNV11860	Organism	Dictyochophyceae
N1N2_SNV11872	Organism	Diatoms
N1N2_SNV11895	Organism	Diatoms
N1N2_SNV11921	Organism	Prymnesiophyceae
N1N2_SNV11945	Organism	Other plastid
N1N2_SNV11959	Organism	Diatoms
N1N2_SNV11968	Organism	Diatoms
N1N2_SNV11971	Organism	Rappemonad
N1N2_SNV11997	Organism	Other plastid
N1N2_SNV12002	Organism	Cryptophyceae
N1N2_SNV12087	Organism	Pelagophyceae
N1N2_SNV12094	Organism	Diatoms
N1N2_SNV12112	Organism	Prymnesiophyceae
N1N2_SNV12113	Organism	Other plastid
N1N2_SNV12118	Organism	Other plastid
N1N2_SNV12125	Organism	Other Cyanobacteria
N1N2_SNV12136	Organism	Prymnesiophyceae
N1N2_SNV12140	Organism	Diatoms
N1N2_SNV12160	Organism	Other plastid
N1N2_SNV12162	Organism	Diatoms
N1N2_SNV12165	Organism	Diatoms
N1N2_SNV12170	Organism	ASV357
N1N2_SNV12173	Organism	Prymnesiophyceae
N1N2_SNV12179	Organism	Diatoms
N1N2_SNV12180	Organism	Cryptophyceae
N1N2_SNV12182	Organism	other Cyanobacteria
N1N2_SNV12186	Organism	Other plastid
N1N2_SNV12191	Organism	Other plastid
N1N2_SNV12199	Organism	Other plastid
N1N2_SNV12203	Organism	Other plastid
N1N2_SNV12230	Organism	Other plastid
N1N2_SNV12234	Organism	Other plastid
N1N2_SNV12236	Organism	Other plastid
N1N2_SNV12269	Organism	Prymnesiophyceae
N1N2_SNV12276	Organism	Prymnesiophyceae
N1N2_SNV12315	Organism	Diatoms
N1N2_SNV12316	Organism	Other plastid
N1N2_SNV12320	Organism	Diatoms
N1N2_SNV12352	Organism	Other plastid
N1N2_SNV12365	Organism	Not assigned
N1N2_SNV12380	Organism	Other plastid
N1N2_SNV12402	Organism	Other plastid
N1N2_SNV12416	Organism	Chrysophyceae
N1N2_SNV12424	Organism	Other plastid
N1N2_SNV12439	Organism	Diatoms
N1N2_SNV12465	Organism	Bolidophyceae
N1N2_SNV12493	Organism	Prymnesiophyceae
N1N2_SNV12506	Organism	Diatoms
N1N2_SNV12552	Organism	Diatoms
N1N2_SNV12560	Organism	Other plastid
N1N2_SNV12570	Organism	Prymnesiophyceae
N1N2_SNV12580	Organism	Prymnesiophyceae
N1N2_SNV12595	Organism	Other plastid
N1N2_SNV12598	Organism	Prymnesiophyceae
N1N2_SNV12607	Organism	Pelagophyceae
N1N2_SNV12616	Organism	Other plastid
N1N2_SNV12617	Organism	Other plastid
N1N2_SNV12625	Organism	Other plastid
N1N2_SNV12626	Organism	Other plastid
N1N2_SNV12629	Organism	Other plastid
N1N2_SNV12637	Organism	Other plastid
N1N2_SNV12641	Organism	Prymnesiophyceae
N1N2_SNV12647	Organism	Other plastid
N1N2_SNV12658	Organism	Prymnesiophyceae
N1N2_SNV12665	Organism	Prymnesiophyceae
N1N2_SNV12747	Organism	Other plastid
N1N2_SNV12748	Organism	Prymnesiophyceae
N1N2_SNV12763	Organism	Other plastid
N1N2_SNV12811	Organism	Other plastid
N1N2_SNV12812	Organism	ASV357
N1N2_SNV12836	Organism	Not assigned
N1N2_SNV12845	Organism	Dictyochophyceae
N1N2_SNV12852	Organism	Not assigned
N1N2_SNV12866	Organism	Prymnesiophyceae
N1N2_SNV12867	Organism	Dictyochophyceae
N1N2_SNV12870	Organism	Other plastid
N1N2_SNV12875	Organism	Pelagophyceae
N1N2_SNV12904	Organism	Prymnesiophyceae
N1N2_SNV12905	Organism	Prymnesiophyceae
N1N2_SNV12920	Organism	Chrysophyceae
N1N2_SNV12923	Organism	Chrysophyceae
N1N2_SNV12934	Organism	Diatoms
N1N2_SNV12968	Organism	Other plastid
N1N2_SNV12978	Organism	Other plastid
N1N2_SNV12988	Organism	Dictyochophyceae
N1N2_SNV12996	Organism	Chrysophyceae
N1N2_SNV13007	Organism	Prymnesiophyceae
N1N2_SNV13009	Organism	Other plastid
N1N2_SNV13012	Organism	Other plastid
N1N2_SNV13023	Organism	Not assigned
N1N2_SNV13027	Organism	Prymnesiophyceae
N1N2_SNV13031	Organism	Chlorophyta
N1N2_SNV13036	Organism	Other plastid
N1N2_SNV13039	Organism	ASV357
N1N2_SNV13044	Organism	Other plastid
N1N2_SNV13047	Organism	Prymnesiophyceae
N1N2_SNV13095	Organism	Other plastid
N1N2_SNV13108	Organism	Other plastid
N1N2_SNV13110	Organism	Other plastid
N1N2_SNV13114	Organism	Other plastid
N1N2_SNV13116	Organism	Other plastid
N1N2_SNV13136	Organism	ASV357
N1N2_SNV13139	Organism	Other plastid
N1N2_SNV13143	Organism	Other plastid
N1N2_SNV13144	Organism	Other plastid
N1N2_SNV13152	Organism	Other plastid
N1N2_SNV13154	Organism	Other plastid
N1N2_SNV13164	Organism	Other plastid
N1N2_SNV13172	Organism	Chrysophyceae
N1N2_SNV13174	Organism	Other plastid
N1N2_SNV13179	Organism	Prymnesiophyceae
N1N2_SNV13180	Organism	Other plastid
N1N2_SNV13205	Organism	Other plastid
N1N2_SNV13207	Organism	Bolidophyceae
N1N2_SNV13249	Organism	Not assigned
N1N2_SNV13252	Organism	Prymnesiophyceae
N1N2_SNV13260	Organism	Other plastid
N1N2_SNV13312	Organism	Other plastid
N1N2_SNV13314	Organism	Prymnesiophyceae
N1N2_SNV13328	Organism	Other plastid
N1N2_SNV13372	Organism	Other plastid
N1N2_SNV13401	Organism	Other plastid
N1N2_SNV13421	Organism	Other plastid
N1N2_SNV13424	Organism	Dictyochophyceae
N1N2_SNV13427	Organism	Prymnesiophyceae
N1N2_SNV13450	Organism	Other plastid
N1N2_SNV13451	Organism	Chrysophyceae
N1N2_SNV13468	Organism	ASV357
N1N2_SNV13475	Organism	Other plastid
N1N2_SNV13478	Organism	Other plastid
N1N2_SNV13479	Organism	Other plastid
N1N2_SNV13485	Organism	ASV357
N1N2_SNV13515	Organism	ASV357
N1N2_SNV13531	Organism	Other plastid
N1N2_SNV13540	Organism	Dictyochophyceae
N1N2_SNV13548	Organism	Other plastid
N1N2_SNV13606	Organism	Prymnesiophyceae
N1N2_SNV13659	Organism	Bolidophyceae
N1N2_SNV13711	Organism	Other plastid
N1N2_SNV13712	Organism	Prymnesiophyceae
N1N2_SNV13713	Organism	Other plastid
N1N2_SNV13722	Organism	Other plastid
N1N2_SNV13726	Organism	Prymnesiophyceae
N1N2_SNV13733	Organism	Other plastid
N1N2_SNV13735	Organism	Prymnesiophyceae
N1N2_SNV13736	Organism	Prymnesiophyceae
N1N2_SNV13753	Organism	Bolidophyceae
N1N2_SNV13757	Organism	Other plastid
N1N2_SNV13761	Organism	Prymnesiophyceae
N1N2_SNV13771	Organism	Other plastid
N1N2_SNV13783	Organism	Other plastid
N1N2_SNV13788	Organism	Other plastid
N1N2_SNV13791	Organism	Other plastid
N1N2_SNV13793	Organism	Prymnesiophyceae
N1N2_SNV13795	Organism	Prymnesiophyceae
N1N2_SNV13822	Organism	Prymnesiophyceae
N1N2_SNV13858	Organism	Prymnesiophyceae
N1N2_SNV13873	Organism	Other plastid
N1N2_SNV13875	Organism	Diatoms
N1N2_SNV13882	Organism	Prymnesiophyceae
N1N2_SNV13888	Organism	Other plastid
N1N2_SNV13895	Organism	Prymnesiophyceae
N1N2_SNV13911	Organism	Bolidophyceae
N1N2_SNV13915	Organism	Diatoms
N1N2_SNV13916	Organism	Diatoms
N1N2_SNV13935	Organism	ASV357
N1N2_SNV13938	Organism	Other plastid
N1N2_SNV13952	Organism	Prymnesiophyceae
N1N2_SNV13957	Organism	Other plastid
N1N2_SNV13959	Organism	Other plastid
N1N2_SNV13963	Organism	Pelagophyceae
N1N2_SNV13973	Organism	Other plastid
N1N2_SNV13981	Organism	Pelagophyceae
N1N2_SNV13982	Organism	Other plastid
N1N2_SNV13984	Organism	Other plastid
N1N2_SNV13995	Organism	Other plastid
N1N2_SNV13996	Organism	Other plastid
N1N2_SNV14031	Organism	Not assigned
N1N2_SNV14051	Organism	Bolidophyceae
N1N2_SNV14071	Organism	Other plastid
N1N2_SNV14103	Organism	Pelagophyceae
N1N2_SNV14105	Organism	Other plastid
N1N2_SNV14113	Organism	Other plastid
N1N2_SNV14125	Organism	Other plastid
N1N2_SNV14130	Organism	Diatoms
N1N2_SNV14138	Organism	Diatoms
N1N2_SNV14149	Organism	Other plastid
N1N2_SNV14153	Organism	Other plastid
N1N2_SNV14154	Organism	Diatoms
N1N2_SNV14160	Organism	ASV357
N1N2_SNV14192	Organism	Prymnesiophyceae
N1N2_SNV14228	Organism	ProchlorococcusHLII
N1N2_SNV14232	Organism	other Cyanobacteria
N1N2_SNV14237	Organism	Not assigned
N1N2_SNV14240	Organism	Diatoms
N1N2_SNV14241	Organism	Other plastid
N1N2_SNV14251	Organism	Other plastid
N1N2_SNV14257	Organism	Other plastid
N1N2_SNV14265	Organism	Other plastid
N1N2_SNV14268	Organism	Not assigned
N1N2_SNV14270	Organism	Other plastid
N1N2_SNV14272	Organism	Other plastid
N1N2_SNV14278	Organism	Other plastid
N1N2_SNV14282	Organism	Other plastid
N1N2_SNV14287	Organism	Other plastid
N1N2_SNV14288	Organism	Other plastid
N1N2_SNV14290	Organism	Prymnesiophyceae
N1N2_SNV14291	Organism	Pelagophyceae
N1N2_SNV14298	Organism	Prymnesiophyceae
N1N2_SNV14305	Organism	Prymnesiophyceae
N1N2_SNV14313	Organism	ASV357
N1N2_SNV14323	Organism	Other plastid
N1N2_SNV14331	Organism	ASV357
N1N2_SNV14332	Organism	Prymnesiophyceae
N1N2_SNV14359	Organism	Pelagophyceae
N1N2_SNV14369	Organism	Not assigned
N1N2_SNV14418	Organism	other Cyanobacteria
N1N2_SNV14430	Organism	Prymnesiophyceae
N1N2_SNV14459	Organism	Other plastid
N1N2_SNV14460	Organism	Other plastid
N1N2_SNV14479	Organism	Other plastid
N1N2_SNV14485	Organism	Other plastid
N1N2_SNV14528	Organism	Chrysophyceae
N1N2_SNV14571	Organism	Other plastid
N1N2_SNV14578	Organism	Prymnesiophyceae
N1N2_SNV14581	Organism	other Cyanobacteria
N1N2_SNV14583	Organism	ASV357
N1N2_SNV14604	Organism	Diatoms
N1N2_SNV14608	Organism	Prymnesiophyceae
N1N2_SNV14626	Organism	Other plastid
N1N2_SNV14630	Organism	Other plastid
N1N2_SNV14662	Organism	Chrysophyceae
N1N2_SNV14669	Organism	Other Cyanobacteria
N1N2_SNV14671	Organism	Other plastid
N1N2_SNV14672	Organism	Pelagophyceae
N1N2_SNV14692	Organism	Pelagophyceae
N1N2_SNV14728	Organism	Pelagophyceae
N1N2_SNV14811	Organism	Dictyochophyceae
