	Mock	Taxa
N1N2_SNV2140	Organism	Rappemonad
N1N2_SNV2151	Organism	OstreococcusII
N1N2_SNV2153	Organism	ProchlorococcusHLI
N1N2_SNV2156	Organism	Prymnesiophyceae
N1N2_SNV2163	Organism	Other Cyanobacteria
N1N2_SNV2205	Organism	Diatoms
N1N2_SNV2225	Organism	Dictyochophyceae
N1N2_SNV2244	Organism	Cryptophyceae
N1N2_SNV2247	Organism	Diatoms
N1N2_SNV2261	Organism	Prymnesiophyceae
N1N2_SNV2276	Organism	Prymnesiophyceae
N1N2_SNV2277	Organism	Other plastid
N1N2_SNV2281	Organism	Diatoms
N1N2_SNV2289	Organism	Pelagophyceae
N1N2_SNV2317	Organism	Prymnesiophyceae
N1N2_SNV2326	Organism	Bolidophyceae
N1N2_SNV2327	Organism	Cryptophyceae
N1N2_SNV2376	Organism	Diatoms
N1N2_SNV2387	Organism	Dictyochophyceae
N1N2_SNV2420	Organism	Cryptophyceae
N1N2_SNV2454	Organism	Prymnesiophyceae
N1N2_SNV2459	Organism	OstreococcusII
N1N2_SNV2473	Organism	Prymnesiophyceae
N1N2_SNV2475	Organism	Micromonas
N1N2_SNV2478	Organism	Prymnesiophyceae
N1N2_SNV2485	Organism	Diatoms
N1N2_SNV2531	Organism	Diatoms
N1N2_SNV2564	Organism	Pelagophyceae
N1N2_SNV2566	Organism	Prymnesiophyceae
N1N2_SNV2586	Organism	Other plastid
N1N2_SNV2614	Organism	Diatoms
N1N2_SNV2636	Organism	Cryptophyceae
N1N2_SNV2646	Organism	ProchlorococcusHLII
N1N2_SNV2657	Organism	Other plastid
N1N2_SNV2673	Organism	Diatoms
N1N2_SNV2682	Organism	Micromonas
N1N2_SNV2716	Organism	Dictyochophyceae
N1N2_SNV2721	Organism	Diatoms
N1N2_SNV2733	Organism	Prymnesiophyceae
N1N2_SNV2734	Organism	Diatoms
N1N2_SNV2744	Organism	Diatoms
N1N2_SNV2756	Organism	Diatoms
N1N2_SNV2758	Organism	Diatoms
N1N2_SNV2778	Organism	Prymnesiophyceae
N1N2_SNV2791	Organism	Diatoms
N1N2_SNV2855	Organism	Diatoms
N1N2_SNV2861	Organism	Bathycoccus
N1N2_SNV2873	Organism	Diatoms
N1N2_SNV2876	Organism	OstreococcusII
N1N2_SNV2881	Organism	Bolidophyceae
N1N2_SNV2910	Organism	Diatoms
N1N2_SNV2914	Organism	Dictyochophyceae
N1N2_SNV2916	Organism	Diatoms
N1N2_SNV2920	Organism	Prymnesiophyceae
N1N2_SNV2928	Organism	Dictyochophyceae
N1N2_SNV2943	Organism	Pelagophyceae
N1N2_SNV2949	Organism	Bathycoccus
N1N2_SNV2959	Organism	Diatoms
N1N2_SNV2967	Organism	Micromonas
N1N2_SNV2981	Organism	Bathycoccus
N1N2_SNV2986	Organism	Prymnesiophyceae
N1N2_SNV2987	Organism	Diatoms
N1N2_SNV3015	Organism	Diatoms
N1N2_SNV3019	Organism	Micromonas
N1N2_SNV3031	Organism	Prymnesiophyceae
N1N2_SNV3060	Organism	Bolidophyceae
N1N2_SNV3077	Organism	Diatoms
N1N2_SNV3079	Organism	Prymnesiophyceae
N1N2_SNV3081	Organism	Dictyochophyceae
N1N2_SNV3101	Organism	Prymnesiophyceae
N1N2_SNV3159	Organism	Other plastid
N1N2_SNV3162	Organism	Prymnesiophyceae
N1N2_SNV3167	Organism	Diatoms
N1N2_SNV3174	Organism	Chrysophyceae
N1N2_SNV3210	Organism	Micromonas
N1N2_SNV3238	Organism	Other plastid
N1N2_SNV3263	Organism	Micromonas
N1N2_SNV3280	Organism	Other plastid
N1N2_SNV3289	Organism	Diatoms
N1N2_SNV3292	Organism	Other plastid
N1N2_SNV3343	Organism	Bolidophyceae
N1N2_SNV3349	Organism	Prymnesiophyceae
N1N2_SNV3355	Organism	Other plastid
N1N2_SNV3369	Organism	Diatoms
N1N2_SNV3406	Organism	Diatoms
N1N2_SNV3407	Organism	Cryptophyceae
N1N2_SNV3412	Organism	Other plastid
N1N2_SNV3414	Organism	ASV357
N1N2_SNV3421	Organism	Diatoms
N1N2_SNV3452	Organism	Prymnesiophyceae
N1N2_SNV3453	Organism	Diatoms
N1N2_SNV3458	Organism	Diatoms
N1N2_SNV3465	Organism	Diatoms
N1N2_SNV3478	Organism	Prymnesiophyceae
N1N2_SNV3493	Organism	Micromonas
N1N2_SNV3496	Organism	Prymnesiophyceae
N1N2_SNV3509	Organism	Diatoms
N1N2_SNV3512	Organism	Prymnesiophyceae
N1N2_SNV3516	Organism	Pelagophyceae
N1N2_SNV3579	Organism	Other plastid
N1N2_SNV3606	Organism	Prymnesiophyceae
N1N2_SNV3634	Organism	Prymnesiophyceae
N1N2_SNV3650	Organism	Other plastid
N1N2_SNV3652	Organism	Diatoms
N1N2_SNV3653	Organism	ProchlorococcusHLII
N1N2_SNV3656	Organism	Cryptophyceae
N1N2_SNV3658	Organism	Other plastid
N1N2_SNV3667	Organism	Other plastid
N1N2_SNV3697	Organism	Other plastid
N1N2_SNV3698	Organism	ProchlorococcusHLII
N1N2_SNV3702	Organism	Pelagophyceae
N1N2_SNV3735	Organism	Prymnesiophyceae
N1N2_SNV3760	Organism	Prymnesiophyceae
N1N2_SNV3772	Organism	Other Cyanobacteria
N1N2_SNV3773	Organism	Bathycoccus
N1N2_SNV3779	Organism	Dictyochophyceae
N1N2_SNV3804	Organism	Dictyochophyceae
N1N2_SNV3822	Organism	Rappemonad
N1N2_SNV3832	Organism	Prymnesiophyceae
N1N2_SNV3860	Organism	Pelagophyceae
N1N2_SNV3870	Organism	Diatoms
N1N2_SNV3871	Organism	Other plastid
N1N2_SNV3899	Organism	Diatoms
N1N2_SNV3901	Organism	Diatoms
N1N2_SNV3907	Organism	ProchlorococcusHLI
N1N2_SNV3921	Organism	Diatoms
N1N2_SNV3944	Organism	Diatoms
N1N2_SNV3951	Organism	Diatoms
N1N2_SNV3955	Organism	Other plastid
N1N2_SNV3956	Organism	Prymnesiophyceae
N1N2_SNV3968	Organism	Prymnesiophyceae
N1N2_SNV3995	Organism	Other plastid
N1N2_SNV4014	Organism	Diatoms
N1N2_SNV4030	Organism	Diatoms
N1N2_SNV4055	Organism	Dictyochophyceae
N1N2_SNV4078	Organism	Other plastid
N1N2_SNV4079	Organism	Diatoms
N1N2_SNV4104	Organism	Micromonas
N1N2_SNV4122	Organism	Other plastid
N1N2_SNV4123	Organism	Pelagophyceae
N1N2_SNV4125	Organism	Diatoms
N1N2_SNV4134	Organism	Other plastid
N1N2_SNV4151	Organism	ProchlorococcusHLII
N1N2_SNV4172	Organism	Diatoms
N1N2_SNV4174	Organism	Diatoms
N1N2_SNV4215	Organism	Pelagophyceae
N1N2_SNV4228	Organism	ProchlorococcusHLI
N1N2_SNV4231	Organism	Prymnesiophyceae
N1N2_SNV4244	Organism	Prymnesiophyceae
N1N2_SNV4291	Organism	Diatoms
N1N2_SNV4292	Organism	Diatoms
N1N2_SNV4303	Organism	Other Cyanobacteria
N1N2_SNV4306	Organism	Prymnesiophyceae
N1N2_SNV4307	Organism	Prymnesiophyceae
N1N2_SNV4333	Organism	Diatoms
N1N2_SNV4361	Organism	Micromonas
N1N2_SNV4396	Organism	Prymnesiophyceae
N1N2_SNV4433	Organism	Diatoms
N1N2_SNV4441	Organism	Diatoms
N1N2_SNV4443	Organism	Diatoms
N1N2_SNV4486	Organism	Cryptophyceae
N1N2_SNV4507	Organism	Prymnesiophyceae
N1N2_SNV4520	Organism	Prymnesiophyceae
N1N2_SNV4542	Organism	Prymnesiophyceae
N1N2_SNV4548	Organism	Chrysophyceae
N1N2_SNV4563	Organism	ProchlorococcusHLI
N1N2_SNV4576	Organism	Diatoms
N1N2_SNV4589	Organism	Diatoms
N1N2_SNV4621	Organism	ProchlorococcusHLI
N1N2_SNV4639	Organism	Other plastid
N1N2_SNV4665	Organism	Prymnesiophyceae
N1N2_SNV4736	Organism	Diatoms
N1N2_SNV4740	Organism	Prymnesiophyceae
N1N2_SNV4766	Organism	Other plastid
N1N2_SNV4778	Organism	Diatoms
N1N2_SNV4780	Organism	Dictyochophyceae
N1N2_SNV4806	Organism	Diatoms
N1N2_SNV4811	Organism	Other plastid
N1N2_SNV4816	Organism	Diatoms
N1N2_SNV4835	Organism	Chrysophyceae
N1N2_SNV4860	Organism	Diatoms
N1N2_SNV4867	Organism	Prymnesiophyceae
N1N2_SNV4877	Organism	Diatoms
N1N2_SNV4899	Organism	ProchlorococcusHLI
N1N2_SNV4945	Organism	Diatoms
N1N2_SNV4956	Organism	Diatoms
N1N2_SNV4983	Organism	Other plastid
N1N2_SNV5007	Organism	Pelagophyceae
N1N2_SNV5020	Organism	Dictyochophyceae
N1N2_SNV5032	Organism	Bathycoccus
N1N2_SNV5033	Organism	Prymnesiophyceae
N1N2_SNV5102	Organism	Chrysophyceae
N1N2_SNV5110	Organism	OstreococcusII
N1N2_SNV5120	Organism	Prymnesiophyceae
N1N2_SNV5123	Organism	Diatoms
N1N2_SNV5169	Organism	Chrysophyceae
N1N2_SNV5177	Organism	Other plastid
N1N2_SNV5190	Organism	Diatoms
N1N2_SNV5199	Organism	Pelagophyceae
N1N2_SNV5211	Organism	Cryptophyceae
N1N2_SNV5222	Organism	Micromonas
N1N2_SNV5247	Organism	OstreococcusII
