	NAAMES1-1_S1	NAAMES2-41_S1	NAAMES1-2_S2	NAAMES2-42_S2	NAAMES1-3_S3	NAAMES2-43_S3	NAAMES1-4_S4	NAAMES2-44_S4	NAAMES1-5_S5	NAAMES2-45_S5	NAAMES1-6_S6	NAAMES2-46_S6	NAAMES1-7_S7	NAAMES2-47_S7	NAAMES1-8_S8	NAAMES2-49_S8	NAAMES1-9_S9	NAAMES2-50_S9	NAAMES1-10_S10	NAAMES2-51_S10	NAAMES1-11_S11	NAAMES2-52_S11	NAAMES1-12_S12	NAAMES2-53_S12	NAAMES1-13_S13	NAAMES2-54_S13	NAAMES1-14_S14	NAAMES2-55_S14	NAAMES1-17_S15	NAAMES2-56_S15	NAAMES1-18_S16	NAAMES2-57_S16	NAAMES1-19_S17	NAAMES2-58_S17	NAAMES1-20_S18	NAAMES2-59_S18	NAAMES1-21_S19	NAAMES2-61_S19	NAAMES1-22_S20	NAAMES2-63_S20	NAAMES1-23_S21	NAAMES2-1_S21	NAAMES1-25_S22	NAAMES2-2_S22	NAAMES1-26_S23	NAAMES2-5_S23	NAAMES1-27_S24	NAAMES2-9_S24	NAAMES1-28_S25	NAAMES2-17_S25	NAAMES1-29_S26	NAAMES2-18_S26	NAAMES1-30_S27	NAAMES2-21_S27	NAAMES1-31_S28	NAAMES2-24_S28	NAAMES1-32_S29	NAAMES2-27_S29	NAAMES1-33_S30	NAAMES2-28_S30	NAAMES1-34_S31	NAAMES2-33_S31	NAAMES1-35_S32	NAAMES2-34_S32	NAAMES1-36_S33	NAAMES2-35_S33	NAAMES1-37_S34	NAAMES2-37_S34	NAAMES1-38_S35	NAAMES2-38_S35	NAAMES1-40_S36	NAAMES2-39_S36	NAAMES1-41_S37	NAAMES2-4_S37	NAAMES1-42_S38	NAAMES2-7_S38	NAAMES1-43_S39	NAAMES2-10_S39	NAAMES1-44_S40	NAAMES2-11_S40	NAAMES1-45_S41	NAAMES2-13_S41	NAAMES1-46_S42	NAAMES2-14_S42	NAAMES1-47_S43	NAAMES2-15_S43	NAAMES1-48_S44	NAAMES2-19_S44	NAAMES1-49_S45	NAAMES2-20_S45	NAAMES1-50_S46	NAAMES2-22_S46	NAAMES1-51_S47	NAAMES2-23_S47	NAAMES1-52_S48	NAAMES2-25_S48	NAAMES1-53_S49	NAAMES2-26_S49	NAAMES1-54_S50	NAAMES2-29_S50	NAAMES1-55_S51	NAAMES2-30_S51	NAAMES1-56_S52	NAAMES2-31_S52	NAAMES2-32_S53	NAAMES2-36_S54	NAAMES2-40_S55	NAAMES2-48_S56	NAAMES2-60_S57	NAAMES2-62_S58	NAAMES2-64_S59
N1N2_SNV62	133	2178	88	3195	137	1313	133	1030	136	895	0	387	7	541	0	3679	0	2293	0	1156	0	509	0	732	0	569	0	221	0	0	0	746	0	421	0	73	0	47	0	0	0	0	214	0	88	0	96	176	165	13	102	291	0	127	0	0	0	1600	287	517	198	1477	235	1174	215	1361	0	398	0	604	0	406	0	0	79	0	121	106	79	0	0	0	0	0	0	0	0	170	75	0	69	0	0	0	0	470	0	461	0	485	0	844	0	217	0	441	0	0	0	0	0
N1N2_SNV71	448	0	258	0	482	0	233	0	409	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	42	0	16	0	0	4	0	0	0	0	0	629	0	337	0	223	0	508	0	199	0	2	0	0	0	0	0	799	0	514	0	727	0	403	0	57	0	0	0	0	0	1192	0	3091	0	3094	0	2928	0	343	0	0	0	0	0	0	0	6879	0	2873	0	1722	0	1956	0	745	0	14	0	48	0	0	0	0	0	0	0	0	0	0
N1N2_SNV74	458	344	373	520	467	295	364	244	640	214	0	127	7	190	16	487	0	348	0	278	0	143	0	189	0	225	0	88	0	0	0	1230	0	535	0	168	5	151	0	13	0	0	455	0	255	0	251	0	938	0	231	0	4	0	0	0	0	401	2937	162	1307	273	2565	225	1583	275	731	132	49	148	0	106	312	0	709	0	689	0	817	0	379	0	4	0	4	0	0	0	2004	0	1280	0	563	0	820	107	771	141	45	158	30	151	0	74	0	79	0	0	9	0	0
N1N2_SNV75	871	0	951	36	581	0	585	0	391	0	0	0	0	0	26	45	487	49	789	21	1239	0	2986	0	1325	16	664	26	2780	0	2583	2863	3066	1598	91	276	47	109	21	61	39	24	73	38	19	7	0	1077	68	295	0	882	0	147	0	30	0	26	72	0	62	0	59	20	36	30	16	0	0	0	0	0	158	13	92	11	79	927	35	286	26	143	0	74	0	132	0	387	0	0	17	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	32
N1N2_SNV78	1445	541	741	954	1405	390	787	258	1378	274	0	110	0	150	6	1041	247	587	109	345	45	145	42	192	0	217	0	78	86	0	46	1650	53	845	90	96	0	41	0	25	0	326	806	379	350	90	295	1041	659	0	284	291	0	97	0	0	0	459	764	150	449	409	766	312	408	330	97	104	0	158	0	118	319	262	627	0	613	841	655	437	131	174	0	243	0	221	0	184	213	0	171	0	113	0	101	114	69	154	0	122	0	245	0	60	0	128	0	0	9	0	0
N1N2_SNV121	130	104	74	191	131	101	73	87	151	87	0	39	0	83	0	102	0	107	0	133	0	56	0	99	0	113	0	23	0	0	0	452	0	177	11	60	0	53	0	0	0	0	205	0	120	0	107	0	196	0	60	0	0	0	0	0	0	138	359	29	285	69	349	57	190	53	0	39	0	76	0	35	1222	0	3167	0	2721	0	2257	0	122	0	10	0	0	0	0	0	2204	0	777	0	390	0	513	34	157	43	0	64	0	71	0	0	0	36	0	0	9	0	0
N1N2_SNV127	472	0	755	0	429	0	348	0	470	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	279	0	263	0	693	0	171	0	0	0	0	0	0	0	1050	0	662	0	986	0	720	0	702	0	0	0	0	0	298	0	565	0	422	0	527	0	213	0	0	0	0	0	0	0	2098	0	2188	0	1180	0	1309	0	626	0	28	0	0	0	0	0	0	0	0	0	0	0	0
N1N2_SNV128	195	1127	141	1382	192	242	223	168	293	206	0	75	14	191	0	2218	142	705	33	137	31	82	32	165	0	170	3	105	89	0	26	199	20	72	70	18	0	99	0	0	16	306	26	357	0	21	22	1643	187	43	36	889	0	45	0	0	0	637	78	201	39	544	66	353	42	375	0	132	0	198	0	132	35	35	22	16	33	665	54	36	0	247	0	211	0	49	0	174	0	0	0	0	0	0	0	179	0	174	0	188	0	398	0	96	0	151	0	0	0	0	20
N1N2_SNV134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	31	0	0	0	648	0	20	0	10042	0	766	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	955	0	166	0	98	0	63	0	129	0	4048	0	0	0	88	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1N2_SNV141	53	725	85	1648	82	577	122	447	117	369	0	155	0	325	0	1093	0	751	0	520	0	189	0	397	0	330	0	160	0	0	0	52	0	20	37	29	0	0	0	13	0	101	0	85	13	0	0	564	64	0	0	352	0	98	0	11	0	921	0	329	0	578	15	544	0	615	0	224	0	398	0	227	0	120	0	0	22	389	60	266	0	107	0	179	0	49	0	218	0	0	0	0	0	0	0	254	0	281	0	314	0	543	0	123	0	173	0	0	0	0	0
N1N2_SNV159	0	143	0	206	0	109	0	80	0	46	0	0	0	0	0	300	0	172	0	0	0	0	0	0	0	59	0	0	0	0	0	96	0	58	0	0	0	0	0	0	0	297	0	515	0	0	0	1693	0	114	0	5223	0	256	0	0	0	76	58	68	0	84	58	77	0	87	0	0	0	0	0	0	0	118	0	0	0	872	0	58	0	0	0	43	0	0	0	3357	0	8	0	0	0	0	0	0	0	0	0	66	0	72	0	0	0	0	0	0	0	0	0
N1N2_SNV164	34	258	9	1110	19	325	7	399	11	264	0	355	0	1522	0	125	0	613	0	443	0	266	0	486	0	304	0	217	0	0	0	99	0	32	0	24	0	34	0	30	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	751	0	973	0	916	9	546	0	1075	7	512	0	616	0	297	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	540	0	228	0	265	0	82	0	152	0	0	0	0	0
N1N2_SNV181	0	798	0	1259	0	658	0	546	0	463	0	214	0	345	0	1757	0	1464	0	567	0	244	0	363	0	338	0	141	0	0	0	236	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	0	138	0	404	0	394	0	433	0	146	0	215	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	205	0	195	0	243	0	65	0	145	0	0	0	0	0
N1N2_SNV182	618	72	858	165	466	119	424	92	331	147	0	52	0	145	0	171	54	306	72	201	97	68	168	112	0	76	0	71	774	0	916	1558	869	1007	0	109	0	55	0	0	0	0	251	0	81	0	121	0	308	0	89	0	0	0	0	0	0	137	140	0	86	47	136	62	77	129	0	70	0	76	0	55	171	0	183	0	163	0	109	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	23	52	0	0	0	67	0	44	0	0	0	0	0	0	0	0	0
N1N2_SNV185	94	585	99	885	187	311	142	256	143	283	0	170	0	239	0	1319	0	577	0	289	0	170	0	340	0	284	0	172	0	0	0	429	0	183	0	41	0	20	0	0	0	0	58	0	34	0	29	0	205	0	31	0	0	0	0	0	0	601	118	159	20	376	96	346	46	422	0	163	0	315	0	231	82	0	147	0	117	0	367	0	21	0	0	0	3	0	0	0	83	0	52	0	27	0	38	186	32	191	0	207	0	332	0	98	0	111	0	0	8	0	0
N1N2_SNV189	291	0	189	0	385	0	197	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	54	0	0	0	0	0	0	0	0	448	0	200	0	201	0	477	0	176	0	0	0	0	0	0	0	412	0	257	0	459	0	249	0	51	0	0	0	0	0	366	0	1007	0	792	0	746	0	154	0	0	0	0	0	0	0	2236	0	1124	0	555	0	615	0	250	0	0	0	21	0	0	0	0	0	0	0	0	0	0
N1N2_SNV192	0	720	0	1256	0	616	0	496	0	392	0	152	0	325	0	1642	0	1290	0	577	0	179	0	395	0	372	0	138	0	0	0	195	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	619	0	151	0	357	0	383	0	474	0	119	0	213	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	197	0	187	0	206	0	85	0	131	0	0	0	0	0
N1N2_SNV193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	267	0	0	0	2079	0	140	0	5726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	1034	0	0	0	0	0	12	0	0	0	2619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1N2_SNV194	103	435	85	675	109	269	127	208	169	191	0	149	0	155	18	686	118	419	50	250	19	136	25	323	0	194	0	122	37	10	10	233	28	137	68	43	0	39	12	38	0	118	68	134	27	184	29	233	164	0	34	463	0	0	0	33	0	294	223	200	94	277	199	310	164	295	39	100	0	156	0	156	18	253	44	146	71	198	105	93	34	67	0	59	0	189	0	117	90	0	66	0	38	0	52	109	56	191	0	169	0	196	0	68	0	94	0	0	5	0	21
N1N2_SNV195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	258	0	335	0	0	0	1950	0	151	0	5876	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	1015	0	10	0	10	0	0	0	0	0	2553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1N2_SNV198	0	1157	0	1217	0	431	0	298	0	642	0	239	0	92	0	483	0	183	0	517	0	209	0	253	0	336	0	90	0	0	0	216	0	116	17	42	0	128	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1232	0	156	0	458	0	735	0	435	0	282	0	392	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	443	0	195	0	94	0	43	0	242	0	0	9	0	57
N1N2_SNV200	261	589	197	936	262	397	163	329	229	286	0	95	0	128	0	1589	0	656	0	339	0	168	0	126	0	143	0	54	0	0	0	140	0	0	0	0	0	0	0	0	0	0	191	0	83	0	60	143	147	0	0	0	0	0	0	0	0	530	123	176	70	423	131	327	0	417	0	103	0	143	0	108	90	0	243	0	250	73	279	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	129	0	129	0	117	0	199	0	67	0	132	0	0	0	0	0
N1N2_SNV236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	88	0	15	0	11	0	424	0	0	0	16	0	13	81	19	64	14	0	11	1696	0	278	0	2517	0	577	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	1010	0	708	0	474	0	227	0	178	0	1398	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1N2_SNV243	14	0	9	0	18	0	0	0	18	0	0	0	0	0	0	0	190	0	81	0	34	0	25	0	0	0	0	0	60	0	16	54	18	22	92	0	0	0	0	12	0	664	0	891	0	31	0	2981	0	14	0	407	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	26	0	1985	0	911	0	245	0	288	0	40	0	184	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1N2_SNV247	0	776	0	1061	0	455	0	374	0	267	0	125	0	170	0	1052	0	650	0	341	0	163	0	268	0	206	0	68	0	0	0	154	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	153	0	551	0	403	0	421	0	101	0	173	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	194	0	161	0	292	0	70	0	135	0	0	0	0	0
