	name	Station	Sequence file	Raw Sequences	WD	Phot	Het	Chl perce	CAST	long	lat	depth	cruise	TEMP	Salinity	O2	O2sd	Leu Incorp	BACT	DOC	TDN	PO43	SiO4	NO2/NO3	NO2	NO3	N/Si	NH4	DON	POC	POC	CHLA	position	day	region	Type	statioNodef	Dens_Thresh_MLD	Mesoscale	name
NAAMES2-46_S6	N2S4b.150m	4b	N2AllChl46.fasta	282682	157144	15778	141366	10.04047243	at34032	-38.70683	47.39167	150	N2	15.49	35.14	5.44	0.01	11.47	16.1	53.07	8.85	0.26	1.22	5.54	0.35	5.19	4.540983607	0	3.31	22.04	1.8	NA	92	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.150m
NAAMES2-47_S7	N2S4b.200m	4b	N2AllChl47.fasta	455298	257389	27722	229667	10.77046805	at34032	-38.70683	47.39167	200	N2	15.46	35.14	5.65	0.14	10	14.7	53.09	8.2	0.27	1.2	5.53	0.27	5.26	4.608333333	0.19	2.47	36.84	3.1	NA	93	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.200m
NAAMES2-48_S56	N2S4b.300m	4b	N2AllChl48.fasta	55934	27839	80	27759	0.287366644	at34032	-38.70683	47.39167	300	N2	14.25	35.93	5.59	0.09	2.63	1.58	52.14	10.63	0.45	2.4	8.25	0	8.25	3.4375	0.04	2.33	NA	NA	NA	94	4	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.300m
NAAMES2-49_S8	N2S4c.5m	4c	N2AllChl49.fasta	348234	230384	135607	94777	58.86129245	at34037	-38.2845	47.333	5	N2	15.66	36.1	5.83	0.23	43.85	8.04	54.45	7.97	0.17	0.99	4.11	0.17	3.94	4.151515152	0	3.86	110.2	9.2	1.276	95	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.5m
NAAMES2-50_S9	N2S4c.25m	4c	N2AllChl50.fasta	368157	228860	97674	131186	42.6784934	at34037	-38.2845	47.333	25	N2	15.5	36.13	5.66	0.02	42.48	8.77	54.01	8.24	0.19	1	4.45	0.07	4.37	4.45	0.12	3.67	NA	NA	1.216	96	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.25m
NAAMES2-51_S10	N2S4c.50m	4c	N2AllChl51.fasta	424245	250021	46870	203151	18.7464253	at34037	-38.2845	47.333	50	N2	15.43	36.13	5.56	0.09	16.46	10.4	52.7	8.79	0.27	1.17	5.27	0.26	5.02	4.504273504	0.06	3.45	44.3	3.7	0.601	97	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.50m
NAAMES2-52_S11	N2S4c.75m	4c	N2AllChl52.fasta	216341	125683	19208	106475	15.28289427	at34037	-38.2845	47.333	75	N2	15.42	36.13	5.55	0.23	13.64	7.42	53.4	9.54	0.26	1.24	5.51	0.25	5.26	4.443548387	0.12	3.92	33.38	2.8	0.381	98	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.75m
NAAMES2-53_S12	N2S4c.100m	4c	N2AllChl53.fasta	478976	270136	29051	241085	10.75421269	at34037	-38.2845	47.333	100	N2	15.41	36.13	5.4	0	8.95	5.73	53.37	9.59	0.26	1.27	5.71	0.19	5.53	4.496062992	0.16	3.72	33.38	2.8	0.266	99	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.100m
NAAMES2-54_S13	N2S4c.150m	4c	N2AllChl54.fasta	279357	162204	26862	135342	16.56062736	at34037	-38.2845	47.333	150	N2	15.39	36.12	5.43	0.02	11.42	6.58	53.8	8.89	0.26	1.26	5.59	0.31	5.28	4.436507937	0.17	3.13	17.34	1.4	NA	100	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.150m
NAAMES2-55_S14	N2S4c.200m	4c	N2AllChl55.fasta	294460	167238	11454	155784	6.848921896	at34037	-38.2845	47.333	200	N2	15.24	36.09	5.48	0.04	10.74	7.23	53.75	9.71	0.25	1.17	5.61	0.35	5.26	4.794871795	0	4.1	35.08	2.9	NA	101	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.200m
NAAMES2-56_S15	N2S4c.300m	4c	N2AllChl56.fasta	344641	181178	490	180688	0.270452262	at34037	-38.2845	47.333	300	N2	14.2	35.92	5.6	0.23	1	3	51.7	11.9	0.43	2.42	8.27	0	8.27	3.417355372	0.09	3.6	NA	NA	NA	102	1	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.300m
NAAMES2-57_S16	N2S5.5m	5	N2AllChl57.fasta	326587	213614	41817	171797	19.57596412	at34042	-43.68376667	44.07633333	5	N2	16	35.7	5.77	0.01	71.67	17.53	59.28	4.05	0.06	0	0.38	0	0.38	NA	0	3.68	179	14.9	0.977	103	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.5m
NAAMES2-58_S17	N2S5.25m	5	N2AllChl58.fasta	189146	121984	22383	99601	18.34912775	at34042	-43.68376667	44.07633333	25	N2	16	35.7	5.75	0.01	92.57	18.21	61.02	4.73	0.06	0	0.34	0.16	0.18	NA	0	4.39	NA	NA	0.982	104	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.25m
NAAMES2-59_S18	N2S5.50m	5	N2AllChl59.fasta	140884	85665	3441	82224	4.016809666	at34042	-43.68376667	44.07633333	50	N2	16.03	35.8	5.54	0.3	16.87	8.52	55.27	6.78	0.22	0.64	3.46	0.29	3.17	5.40625	0	3.43	53.14	4.4	0.245	105	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.50m
NAAMES2-60_S57	N2S5.75m	5	N2AllChl60.fasta	216987	14457	163	14294	1.127481497	at34042	-43.68376667	44.07633333	75	N2	15.52	35.87	5.11	0.25	8.59	5.91	52.5	10.88	0.37	1.64	6.44	0.2	6.24	3.926829268	0.02	4.43	26.24	2.2	0.116	106	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.75m
NAAMES2-61_S19	N2S5.100m	5	N2AllChl61.fasta	331522	178302	2318	175984	1.300041503	at34042	-43.68376667	44.07633333	100	N2	14.97	35.85	4.72	0	5.38	2.79	51.86	11.84	0.49	2.49	8.64	0.15	8.49	3.469879518	0	3.2	4.39	0.4	0.024	107	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.100m
NAAMES2-63_S20	N2S5.200m	5	N2AllChl63.fasta	182729	103144	885	102259	0.858023734	at34042	-43.68376667	44.07633333	200	N2	11.8	35.23	4.69	0.12	3.21	2.76	49.24	15.44	0.83	5.3	13.27	0.01	13.26	2.503773585	0	2.17	4.39	0.4	NA	108	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.200m
NAAMES2-64_S59	N2S5.300m	5	N2AllChl64.fasta	180790	103555	458	103097	0.442277051	at34042	-43.68376667	44.07633333	300	N2	9.5	35.06	4.23	0.01	2.36	2.11	47.74	20.01	1.12	8.58	17.45	0.15	17.29	2.033799534	0	2.56	26.26	2.2	NA	109	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.300m
																																								
