	Domain	Phylum 	Class	Order	Family	Genus	Species
N1N2_SNV4589	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4621	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLI
N1N2_SNV4639	Eukaryota	Eusiphoniidae					
N1N2_SNV4665	Eukaryota	Haptophyta					
N1N2_SNV4736	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4740	Eukaryota	Haptophyta					
N1N2_SNV4766	Eukaryota	Chlorophyta					
N1N2_SNV4778	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4780	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV4806	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4811	Eukaryota	Eusiphoniidae					
N1N2_SNV4816	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4835	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV4860	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4867	Eukaryota	Haptophyta					
N1N2_SNV4877	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4899	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLI
N1N2_SNV4945	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4956	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV4983	Eukaryota	new_euk_A					
N1N2_SNV5007	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	A.anophagefferens
N1N2_SNV5020	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV5032	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV5033	Eukaryota	Haptophyta					
N1N2_SNV5102	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV5110	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV5120	Eukaryota	Haptophyta					
N1N2_SNV5123	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5169	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV5177	Eukaryota	Stramenopiles					
N1N2_SNV5190	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5199	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV5211	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV5222	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2
N1N2_SNV5247	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV5262	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5304	Eukaryota	Stramenopiles	Pelagophyceae				
N1N2_SNV5328	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5341	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV5363	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5411	Eukaryota	Haptophyta					
N1N2_SNV5429	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5451	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5459	Eukaryota	Stramenopiles					
N1N2_SNV5599	Eukaryota	Haptophyta					
N1N2_SNV5619	Eukaryota	Chlorophyta					
N1N2_SNV5621	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	
N1N2_SNV5626	Eukaryota	Chlorophyta	PrasinophyceaeVIII				
N1N2_SNV5637	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV5643	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5681	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5693	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5717	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5732	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV5766	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5769	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV5770	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV5802	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV5803	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5824	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5851	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV5872	Eukaryota	Haptophyta					
N1N2_SNV5873	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV5874	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5881	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5935	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV5972	Eukaryota	Stramenopiles	Pelagophyceae				
N1N2_SNV5973	Eukaryota	Haptophyta					
N1N2_SNV6018	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII
N1N2_SNV6026	Eukaryota	Haptophyta					
N1N2_SNV6028	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV6043	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6088	Eukaryota	Rhodophyta					
N1N2_SNV6108	Eukaryota	Haptophyta					
N1N2_SNV6117	Eukaryota	Stramenopiles	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Proboscia	
N1N2_SNV6127	Eukaryota	Haptophyta					
N1N2_SNV6144	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV6150	Eukaryota	new_euk_A					
N1N2_SNV6175	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV6215	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV6216	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6256	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6261	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6290	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV6356	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV6357	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6364	Eukaryota	Haptophyta					
N1N2_SNV6365	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV6369	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6398	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6426	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6428	Eukaryota	Rhodophyta					
N1N2_SNV6433	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6441	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6443	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6478	Eukaryota	new_euk_A					
N1N2_SNV6524	Eukaryota	Haptophyta					
N1N2_SNV6546	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV6548	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6574	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV6575	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6590	Eukaryota	Haptophyta					
N1N2_SNV6645	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV6666	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6719	Eukaryota	new_euk_C					
N1N2_SNV6773	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV6815	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV6870	Eukaryota	Haptophyta					
N1N2_SNV6926	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV6958	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProLLIV
N1N2_SNV6976	Eukaryota	Haptophyta					
N1N2_SNV7015	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7030	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7038	NA						
N1N2_SNV7044	Eukaryota	Haptophyta					
N1N2_SNV7063	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7069	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7094	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7111	Eukaryota	Haptophyta					
N1N2_SNV7140	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV7159	Eukaryota	Haptophyta					
N1N2_SNV7177	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7238	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7239	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7256	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV7335	Eukaryota	new_euk_C					
N1N2_SNV7346	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7369	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV7370	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7375	Eukaryota	new_euk_A					
N1N2_SNV7377	Eukaryota	Rhodophyta					
N1N2_SNV7389	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7421	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV7447	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7448	Eukaryota	Chlorophyta	PrasinophyceaeIII				
N1N2_SNV7479	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7578	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7607	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV7621	Eukaryota	Haptophyta					
N1N2_SNV7645	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC
N1N2_SNV7657	Eukaryota	Stramenopiles					
N1N2_SNV7663	Eukaryota	Haptophyta					
N1N2_SNV7667	Eukaryota	Haptophyta					
N1N2_SNV7702	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7703	Eukaryota	Stramenopiles	Bacillariophyceae		Rhizosoleniales	Rhizosoleniaceae	Proboscia
N1N2_SNV7827	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7836	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV7838	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV7839	Eukaryota	Haptophyta					
N1N2_SNV7841	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV7865	NA						
N1N2_SNV7877	Eukaryota	Stramenopiles	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Proboscia	
N1N2_SNV7922	Eukaryota	Haptophyta					
N1N2_SNV7923	Eukaryota	Haptophyta					
N1N2_SNV7929	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV7951	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV7996	Eukaryota	Chlorophyta	PrasinophyceaeVIII				
N1N2_SNV7998	Eukaryota	Chlorophyta					
N1N2_SNV8004	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV8024	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8109	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV8112	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8113	Eukaryota	Haptophyta					
N1N2_SNV8118	Eukaryota	Haptophyta					
N1N2_SNV8151	Eukaryota	Chlorophyta	Chlorara				
N1N2_SNV8196	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8201	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV8223	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8271	Eukaryota	Stramenopiles					
N1N2_SNV8273	Eukaryota	Chlorophyta	PrasinophyceaeII				
N1N2_SNV8289	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV8326	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8332	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8334	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV8468	Eukaryota	Haptophyta					
N1N2_SNV8502	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8507	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8513	Eukaryota	Chlorophyta					
N1N2_SNV8537	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8542	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8582	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8599	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV8647	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV8691	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV8766	Eukaryota	Haptophyta					
N1N2_SNV8802	Eukaryota	Haptophyta					
N1N2_SNV8816	Eukaryota	Rhodophyta					
N1N2_SNV8824	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV8863	Eukaryota	Haptophyta					
N1N2_SNV8864	Eukaryota	Haptophyta					
N1N2_SNV8875	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV8919	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV8921	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8928	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8958	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8972	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8976	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV8984	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV8987	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV8996	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV9047	Eukaryota	Haptophyta					
N1N2_SNV9049	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV9062	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV9115	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV9133	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV9157	Eukaryota	Chlorophyta					
N1N2_SNV9158	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV9159	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV9160	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV9199	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV9242	Eukaryota	Haptophyta					
N1N2_SNV9244	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC
N1N2_SNV9265	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV9279	Eukaryota	Haptophyta					
N1N2_SNV9295	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV9321	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV9334	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV9342	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV9344	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV9383	Eukaryota	Haptophyta					
N1N2_SNV9394	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV9396	Eukaryota	new_euk_A					
N1N2_SNV9408	Eukaryota	Haptophyta					
N1N2_SNV9436	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV9475	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV9531	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV9545	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV9589	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV9596	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV9612	Eukaryota	new_euk_C					
N1N2_SNV9613	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV9614	Eukaryota	Haptophyta					
N1N2_SNV9615	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pcoccus				
N1N2_SNV9623	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV9679	Eukaryota	Chlorophyta	Chlorophyta				
N1N2_SNV9684	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV9694	Eukaryota	Haptophyta					
N1N2_SNV9697	Eukaryota	new_euk_A					
N1N2_SNV9703	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV9707	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pcoccus				
N1N2_SNV9840	Eukaryota	Chlorophyta	Trebouxiophyceae				
N1N2_SNV9843	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV9850	Eukaryota	Haptophyta					
N1N2_SNV9854	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV9858	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV9936	Eukaryota	Chlorophyta	PrasinophyceaeIII				
N1N2_SNV9937	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV10004	Eukaryota	Haptophyta					
N1N2_SNV10011	Eukaryota	Chlorophyta					
N1N2_SNV10047	Eukaryota	Haptophyta					
N1N2_SNV10049	Eukaryota	Haptophyta					
N1N2_SNV10078	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10091	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV10093	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10133	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV10154	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV10213	Eukaryota	new_euk_A					
N1N2_SNV10219	Eukaryota	new_euk_C					
N1N2_SNV10222	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV10318	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV10327	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV10333	NA						
N1N2_SNV10392	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10399	Eukaryota	Chlorophyta					
N1N2_SNV10400	Eukaryota	Chlorophyta	Trebouxiophyceae				
N1N2_SNV10401	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10403	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV10457	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV10461	NA						
N1N2_SNV10497	Eukaryota	new_euk_A					
N1N2_SNV10556	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10569	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10589	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10590	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10592	Eukaryota	Chlorophyta	PrasinophyceaeII				
N1N2_SNV10645	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10649	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10666	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV10792	Eukaryota	new_euk_C					
N1N2_SNV10855	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV10858	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10863	Eukaryota	Haptophyta					
N1N2_SNV10866	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10905	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV10913	Eukaryota	Haptophyta					
N1N2_SNV10930	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV10931	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV10961	Eukaryota	Haptophyta					
N1N2_SNV11034	Eukaryota	Chlorophyta					
N1N2_SNV11054	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11056	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11059	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV11185	Eukaryota	Chlorophyta					
N1N2_SNV11198	Eukaryota	Haptophyta					
N1N2_SNV11203	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV11205	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV11217	Eukaryota	Stramenopiles					
N1N2_SNV11249	Eukaryota	Haptophyta					
N1N2_SNV11267	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV11299	Eukaryota	Chlorophyta	PrasinophyceaeVIII				
N1N2_SNV11311	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV11320	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV11328	Eukaryota	Chlorophyta					
N1N2_SNV11330	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV11337	Eukaryota	Chlorophyta	Chlorophyta				
N1N2_SNV11360	Eukaryota	Haptophyta					
N1N2_SNV11361	NA						
N1N2_SNV11411	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV11419	Eukaryota	Rhodophyta					
N1N2_SNV11429	Eukaryota	Haptophyta					
N1N2_SNV11434	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV11436	Eukaryota	Chlorophyta	PrasinophyceaeV				
N1N2_SNV11445	Eukaryota	Haptophyta					
N1N2_SNV11487	Eukaryota	new_euk_A					
N1N2_SNV11497	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV11508	NA						
N1N2_SNV11510	Eukaryota	Haptophyta					
N1N2_SNV11513	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV11583	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11598	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV11637	Eukaryota	Haptophyta					
N1N2_SNV11639	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV11669	Eukaryota	Haptophyta					
N1N2_SNV11670	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11684	Eukaryota	Haptophyta					
N1N2_SNV11686	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV11736	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11800	Eukaryota	Chlorophyta	Trebouxiophyceae				
N1N2_SNV11803	Eukaryota	Haptophyta					
N1N2_SNV11812	Eukaryota	Chlorophyta					
N1N2_SNV11815	Eukaryota	new_euk_C					
N1N2_SNV11819	Eukaryota	Stramenopiles					
N1N2_SNV11822	Eukaryota	Haptophyta					
N1N2_SNV11823	Eukaryota	Chlorophyta	Trebouxiophyceae				
N1N2_SNV11825	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV11843	Bacteria	Cyanobacteria					
N1N2_SNV11846	Eukaryota	Chlorophyta					
N1N2_SNV11850	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11860	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV11872	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11895	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11921	Eukaryota	Haptophyta					
N1N2_SNV11945	Eukaryota	Stramenopiles					
N1N2_SNV11959	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11968	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV11971	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV11997	Eukaryota	Chlorophyta					
N1N2_SNV12002	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV12087	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV12094	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12112	Eukaryota	Haptophyta					
N1N2_SNV12113	Eukaryota	new_euk_A					
N1N2_SNV12118	Eukaryota	Chlorophyta					
N1N2_SNV12125	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProLLIV
N1N2_SNV12136	Eukaryota	Haptophyta					
N1N2_SNV12140	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12160	Eukaryota	Chlorophyta	Trebouxiophyceae				
N1N2_SNV12162	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12165	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12170	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV12173	Eukaryota	Haptophyta					
N1N2_SNV12179	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12180	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV12182	Bacteria	Cyanobacteria					
N1N2_SNV12186	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV12191	Eukaryota	Chlorophyta					
N1N2_SNV12199	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV12203	Eukaryota	Chlorophyta					
N1N2_SNV12230	Eukaryota	Rhodophyta					
N1N2_SNV12234	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV12236	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV12269	Eukaryota	Haptophyta					
N1N2_SNV12276	Eukaryota	Haptophyta					
N1N2_SNV12315	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12316	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV12320	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12352	Eukaryota	Chlorophyta	PrasinophyceaeVIII				
N1N2_SNV12365	NA						
N1N2_SNV12380	Eukaryota	Stramenopiles					
N1N2_SNV12402	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV12416	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV12424	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV12439	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12465	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV12493	Eukaryota	Haptophyta					
N1N2_SNV12506	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12552	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12560	Eukaryota	Chlorophyta					
N1N2_SNV12570	Eukaryota	Haptophyta					
N1N2_SNV12580	Eukaryota	Haptophyta					
N1N2_SNV12595	Eukaryota	Stramenopiles					
